queue_ahead,daily_caller,hour,minute,day_of_week,recent_arrivals,recent_services,avg_service_time,time_since_previous_call
0,75,12,38,2,0,0,248.95,925.0
0,21,10,13,0,2,2,332.45,262.0
0,146,12,30,1,4,4,374.55,47.0
1,89,12,37,2,7,6,455.95,28.0
0,122,17,7,1,3,3,286.1,197.0
0,78,11,31,3,6,6,351.4,111.0
0,59,10,44,1,1,1,360.15,55.0
0,41,10,6,2,2,2,322.8,373.0
0,87,12,30,3,2,2,364.35,176.0
0,48,10,16,2,4,4,187.3,97.0
0,8,8,8,1,7,7,254.75,72.0
0,143,16,15,4,2,2,262.1,254.0
0,44,10,22,0,2,2,345.9,496.0
0,57,11,29,2,3,3,281.1,336.0
0,55,11,30,0,3,3,327.8,91.0
0,28,9,27,0,4,7,373.25,136.0
0,26,9,2,1,3,3,300.5,134.0
0,84,12,48,3,2,2,275.0,40.0
0,175,15,44,4,0,0,265.5,641.0
0,253,17,25,4,4,4,249.9,117.0
0,56,11,48,2,3,3,362.75,91.0
0,45,10,19,2,5,5,306.35,20.0
0,41,10,16,2,3,3,318.3,234.0
0,198,17,23,2,2,2,361.6,82.0
0,149,15,38,3,3,3,252.25,206.0
0,233,16,5,2,4,4,253.6,47.0
0,20,8,57,0,2,2,336.7,86.0
0,43,10,50,1,1,1,154.2,11.0
0,87,13,26,2,7,7,276.75,36.0
0,106,13,53,3,2,2,270.9,476.0
0,29,9,59,4,0,0,286.45,780.0
0,68,10,14,0,5,5,375.0,49.0
0,30,9,33,3,5,5,276.5,93.0
0,41,10,13,3,5,5,336.8,32.0
0,146,14,17,2,3,3,341.25,166.0
1,51,9,50,3,9,8,273.9,86.0
0,15,9,3,2,4,4,286.7,2.0
0,177,13,48,1,6,7,301.35,24.0
0,105,11,43,3,5,5,320.6,14.0
0,40,10,16,0,1,1,366.05,238.0
0,152,13,41,1,6,6,354.6,52.0
0,56,11,2,4,1,1,312.5,154.0
0,174,15,6,0,6,6,361.15,134.0
0,71,10,59,0,3,3,311.55,83.0
0,188,15,30,2,4,4,322.15,312.0
0,9,8,24,4,1,1,253.45,416.0
4,214,16,28,3,3,5,362.1,177.0
0,12,8,23,0,4,4,231.65,176.0
0,12,8,28,2,4,4,339.2,253.0
0,10,8,18,1,2,2,251.9,173.0
0,188,15,37,1,6,6,391.8,110.0
0,16,8,37,0,2,2,379.6,91.0
0,78,12,21,1,2,2,233.4,392.0
0,24,9,3,2,4,4,256.6,265.0
0,136,13,9,4,7,7,226.2,128.0
0,115,15,25,3,1,1,265.2,576.0
0,132,13,51,2,3,3,212.3,103.0
0,166,17,18,2,3,3,387.25,163.0
0,114,12,41,0,2,2,268.25,68.0
0,14,8,42,1,2,2,218.2,378.0
0,143,16,53,0,0,0,243.75,762.0
0,98,10,53,1,5,5,275.75,4.0
0,131,12,35,1,3,3,292.65,337.0
0,72,12,9,1,2,2,224.75,333.0
1,174,17,39,1,5,4,405.75,246.0
0,116,12,43,3,7,7,314.05,73.0
0,201,16,48,1,5,5,383.2,111.0
0,110,11,56,1,3,3,348.05,94.0
0,165,16,21,4,4,5,353.55,73.0
0,98,12,11,1,4,4,248.65,24.0
0,139,15,42,1,2,2,304.75,62.0
0,209,17,38,2,0,0,222.25,716.0
0,71,12,22,4,5,5,381.7,18.0
0,85,12,49,4,2,2,332.8,106.0
0,154,14,11,0,3,3,364.65,140.0
0,70,11,35,2,3,3,299.55,66.0
0,75,10,53,4,3,3,350.95,330.0
0,174,16,24,4,5,5,239.0,5.0
0,94,11,59,2,4,4,193.9,8.0
0,9,8,26,4,5,5,341.15,199.0
0,132,14,51,0,6,6,284.5,65.0
0,98,11,38,0,4,4,269.6,12.0
0,233,16,24,0,4,4,314.7,153.0
0,179,14,57,0,4,4,294.55,290.0
0,104,14,20,0,4,4,208.6,191.0
0,127,16,14,4,3,3,313.2,360.0
0,88,11,1,4,1,1,401.05,207.0
0,102,14,26,2,4,4,359.0,232.0
0,14,8,39,4,3,3,278.15,149.0
0,34,9,49,4,4,4,274.1,277.0
0,148,16,42,3,2,2,358.0,45.0
0,8,8,8,1,7,7,346.15,106.0
0,47,9,39,0,4,4,282.75,22.0
0,96,13,20,1,4,4,281.95,36.0
0,112,14,15,0,5,5,146.65,82.0
0,7,8,11,2,4,4,276.7,151.0
0,181,16,12,3,2,2,249.75,389.0
0,110,14,14,1,3,3,245.35,119.0
0,160,15,8,3,4,4,317.9,93.0
0,14,8,40,1,4,4,338.25,18.0
0,48,11,52,2,4,4,346.25,285.0
1,76,13,35,3,4,3,397.9,102.0
0,188,17,8,3,4,4,366.3,84.0
0,265,17,55,0,3,3,256.45,80.0
0,73,11,34,2,7,7,247.3,239.0
0,111,14,16,3,4,4,384.05,155.0
0,144,15,43,4,2,4,308.7,2.0
0,81,12,0,0,5,5,363.2,19.0
0,44,10,40,0,2,2,236.3,488.0
0,64,11,37,0,2,2,312.3,128.0
1,31,8,55,4,8,7,275.95,17.0
0,193,15,24,0,2,3,384.75,292.0
0,87,11,58,1,4,4,296.15,132.0
0,91,13,36,0,3,3,267.15,54.0
0,176,15,31,2,4,4,314.2,137.0
0,41,9,44,2,4,4,229.1,2.0
0,17,8,38,0,5,5,302.1,20.0
0,52,9,51,1,2,2,252.1,323.0
0,158,17,25,2,1,1,234.4,407.0
0,152,14,23,2,6,6,376.3,71.0
0,33,9,22,1,1,1,299.4,433.0
0,78,12,12,4,4,4,398.85,287.0
0,101,14,3,2,5,5,300.0,87.0
0,3,8,5,1,2,2,219.95,258.0
0,59,12,18,4,3,3,355.35,158.0
0,69,9,57,0,5,5,296.95,114.0
0,178,15,17,3,5,5,352.7,10.0
0,31,9,42,1,1,1,356.95,486.0
0,51,11,16,1,3,3,236.45,331.0
0,2,8,4,2,1,1,257.35,284.0
0,28,9,33,4,4,4,402.65,2.0
0,40,10,14,3,3,3,286.55,31.0
0,145,17,7,4,2,2,237.05,56.0
0,105,14,16,1,0,0,418.25,681.0
0,179,15,15,4,4,4,322.45,17.0
0,6,8,10,4,3,3,229.15,336.0
0,167,16,30,0,0,0,364.4,709.0
0,100,14,20,4,1,1,209.45,56.0
0,108,14,10,3,2,2,363.6,216.0
0,186,15,23,1,4,4,242.85,44.0
0,4,8,1,4,3,3,276.25,74.0
0,16,8,59,0,3,3,248.25,54.0
3,107,11,44,4,4,7,273.5,45.0
0,190,16,42,4,3,3,313.4,26.0
0,7,8,18,3,5,5,246.25,133.0
0,154,15,30,0,4,4,183.75,340.0
0,5,8,5,3,4,4,258.1,20.0
0,39,10,10,2,2,2,432.45,410.0
0,57,11,30,0,0,0,224.05,859.0
0,156,16,54,0,1,1,252.2,26.0
0,148,16,13,1,3,3,247.8,208.0
0,3,8,3,3,2,2,256.8,21.0
0,157,14,52,4,1,1,402.15,284.0
0,140,16,46,2,3,3,246.35,26.0
0,10,8,20,3,2,2,252.45,303.0
0,91,12,36,1,1,1,204.3,430.0
0,193,16,56,1,3,3,244.1,56.0
0,220,16,8,4,4,5,372.9,380.0
0,119,14,19,4,3,3,367.6,386.0
0,159,15,0,2,3,3,223.9,335.0
0,184,15,20,1,3,3,198.4,58.0
0,231,17,13,4,4,4,325.6,89.0
0,37,9,30,4,4,4,337.55,330.0
0,94,13,15,4,1,1,240.25,166.0
0,176,17,27,2,0,0,336.65,906.0
0,7,8,22,4,2,2,321.25,69.0
0,195,14,35,1,4,4,299.4,428.0
0,125,14,15,1,2,2,244.0,193.0
0,33,9,21,4,6,6,281.75,134.0
0,76,11,6,3,2,2,198.8,76.0
0,133,15,44,3,6,6,307.2,166.0
0,68,11,50,4,2,2,366.75,483.0
0,74,11,42,3,2,2,396.4,455.0
0,157,14,19,3,1,1,228.55,215.0
0,138,16,1,2,1,1,315.55,240.0
0,87,11,53,1,2,2,161.9,249.0
0,87,11,11,3,7,9,310.25,135.0
0,94,10,46,1,5,5,245.45,27.0
0,79,11,1,0,3,3,407.35,220.0
0,55,10,22,2,7,7,274.5,22.0
0,80,11,34,1,4,4,264.25,102.0
0,48,11,21,2,3,3,291.35,322.0
0,39,10,19,4,3,3,467.85,70.0
0,40,10,35,1,3,3,304.55,221.0
0,136,16,11,0,5,5,341.3,159.0
0,52,10,29,3,3,3,387.4,95.0
0,8,8,39,4,2,2,230.05,294.0
0,57,10,53,0,1,1,243.45,574.0
0,173,14,15,3,2,2,225.8,390.0
0,152,13,37,2,4,4,372.4,128.0
0,67,11,7,1,1,1,357.2,182.0
0,7,8,16,0,2,2,338.45,20.0
0,52,11,55,0,3,3,324.7,156.0
0,72,12,9,3,2,2,360.15,147.0
0,210,16,31,4,4,4,371.6,99.0
0,33,10,25,0,4,4,400.5,207.0
0,152,16,32,1,4,4,257.55,259.0
0,222,16,55,1,4,4,284.85,141.0
0,159,15,23,4,5,5,297.85,46.0
0,199,15,13,4,2,2,219.65,49.0
0,61,11,57,2,3,3,243.0,188.0
0,44,10,52,1,4,4,384.5,405.0
0,190,16,35,0,6,6,206.95,86.0
0,199,15,18,1,6,6,316.65,33.0
0,157,14,33,0,4,4,211.4,7.0
0,32,9,43,3,4,4,308.45,87.0
0,27,9,51,2,1,2,351.4,311.0
0,17,8,47,3,3,3,423.3,210.0
0,124,16,56,0,3,3,223.55,46.0
0,149,15,28,2,4,4,318.4,118.0
0,14,8,21,3,7,7,300.3,20.0
0,227,16,4,3,4,4,279.9,211.0
0,81,14,24,2,3,3,265.3,110.0
